gw,Benford FC,Cheasle FC,Chicken ASzobo,Cursed BrunOnana,HappyHaalandays,RATABE,Seanhampton FC,The ThiaGOAT,Thottenham Hotsluts,Zenright
1,9,10,5,1,4,8,3,2,6,7
2,7,10,2,4,6,9,3,1,5,8
3,6,8,5,7,4,10,1,2,3,9
4,6,7,2,8,5,10,1,3,4,9
5,7,8,3,6,5,10,1,4,2,9
6,7,8,3,6,5,10,1,2,4,9
7,9,7,2,4,6,10,1,3,5,8
8,9,7,2,4,6,10,1,3,5,8
9,9,5,2,3,8,10,1,4,6,7
10,9,8,1,3,7,10,2,4,5,6
11,9,6,1,3,5,10,2,7,8,4
12,10,7,2,3,6,9,1,5,8,4
13,10,8,1,4,6,9,2,5,7,3
14,10,7,1,3,6,9,2,5,8,4
15,10,8,1,3,6,9,2,4,7,5
16,10,8,1,2,4,9,3,6,7,5
17,10,7,1,2,4,9,3,5,8,6
18,10,6,1,2,4,9,3,7,8,5
19,9,5,1,2,3,10,4,8,7,6
20,10,7,1,2,4,9,3,8,6,5
21,10,6,1,2,4,9,3,8,5,7
22,10,6,1,3,4,9,2,8,5,7
23,10,6,1,3,4,9,2,8,5,7
24,10,7,1,2,4,9,3,8,5,6
25,10,7,1,3,4,9,2,8,5,6
26,10,6,1,2,4,9,3,8,5,7
27,10,6,2,1,3,9,4,8,5,7
28,10,4,2,1,3,9,5,7,6,8
29,10,3,2,1,5,9,6,8,4,7
30,10,3,1,2,4,9,6,7,5,8
31,10,3,1,2,4,9,6,8,5,7
32,10,3,2,1,4,9,6,8,5,7
33,10,2,1,4,3,9,6,8,5,7
34,10,2,1,3,4,9,7,8,5,6
35,10,2,1,3,4,9,7,8,5,6
36,10,2,1,3,4,9,6,8,7,5
37,10,2,1,3,4,9,6,8,7,5
38,10,2,1,3,4,9,6,8,7,5
